#Raman_shift/cm-1          I_tot                 I_e                   I_h
 -2000.0        4.904539459776E-009   4.977803314787E-008   2.397823152657E-008
 -1999.9        4.906644423006E-009   4.979936318170E-008   2.398849797828E-008
 -1999.8        4.908750752094E-009   4.982070705315E-008   2.399877108952E-008
 -1999.7        4.910858448222E-009   4.984206477419E-008   2.400905086606E-008
 -1999.6        4.912967512575E-009   4.986343635682E-008   2.401933731367E-008
 -1999.5        4.915077946339E-009   4.988482181305E-008   2.402963043813E-008
 -1999.4        4.917189750700E-009   4.990622115491E-008   2.403993024523E-008
 -1999.3        4.919302926846E-009   4.992763439443E-008   2.405023674076E-008
 -1999.2        4.921417475967E-009   4.994906154366E-008   2.406054993052E-008
 -1999.1        4.923533399254E-009   4.997050261467E-008   2.407086982031E-008
 -1999.0        4.925650697898E-009   4.999195761953E-008   2.408119641595E-008
 -1998.9        4.927769373092E-009   5.001342657033E-008   2.409152972325E-008
 -1998.8        4.929889426032E-009   5.003490947916E-008   2.410186974805E-008
 -1998.7        4.932010857913E-009   5.005640635816E-008   2.411221649616E-008
 -1998.6        4.934133669933E-009   5.007791721944E-008   2.412256997342E-008
 -1998.5        4.936257863289E-009   5.009944207514E-008   2.413293018568E-008
 -1998.4        4.938383439182E-009   5.012098093742E-008   2.414329713880E-008
 -1998.3        4.940510398812E-009   5.014253381845E-008   2.415367083861E-008
 -1998.2        4.942638743382E-009   5.016410073041E-008   2.416405129099E-008
 -1998.1        4.944768474096E-009   5.018568168550E-008   2.417443850181E-008
 -1998.0        4.946899592159E-009   5.020727669591E-008   2.418483247693E-008
 -1997.9        4.949032098777E-009   5.022888577388E-008   2.419523322225E-008
 -1997.8        4.951165995157E-009   5.025050893163E-008   2.420564074364E-008
 -1997.7        4.953301282508E-009   5.027214618141E-008   2.421605504701E-008
 -1997.6        4.955437962041E-009   5.029379753548E-008   2.422647613825E-008
 -1997.5        4.957576034968E-009   5.031546300613E-008   2.423690402326E-008
 -1997.4        4.959715502500E-009   5.033714260562E-008   2.424733870798E-008
 -1997.3        4.961856365853E-009   5.035883634628E-008   2.425778019830E-008
 -1997.2        4.963998626242E-009   5.038054424040E-008   2.426822850016E-008
 -1997.1        4.966142284883E-009   5.040226630032E-008   2.427868361950E-008
 -1997.0        4.968287342995E-009   5.042400253837E-008   2.428914556225E-008
 -1996.9        4.970433801797E-009   5.044575296692E-008   2.429961433435E-008
 -1996.8        4.972581662511E-009   5.046751759833E-008   2.431008994176E-008
 -1996.7        4.974730926357E-009   5.048929644497E-008   2.432057239044E-008
 -1996.6        4.976881594561E-009   5.051108951926E-008   2.433106168635E-008
 -1996.5        4.979033668345E-009   5.053289683359E-008   2.434155783547E-008
 -1996.4        4.981187148938E-009   5.055471840038E-008   2.435206084376E-008
 -1996.3        4.983342037565E-009   5.057655423208E-008   2.436257071723E-008
 -1996.2        4.985498335457E-009   5.059840434112E-008   2.437308746185E-008
 -1996.1        4.987656043843E-009   5.062026873998E-008   2.438361108363E-008
 -1996.0        4.989815163954E-009   5.064214744113E-008   2.439414158856E-008
 -1995.9        4.991975697024E-009   5.066404045705E-008   2.440467898267E-008
 -1995.8        4.994137644286E-009   5.068594780026E-008   2.441522327196E-008
 -1995.7        4.996301006977E-009   5.070786948327E-008   2.442577446247E-008
 -1995.6        4.998465786333E-009   5.072980551860E-008   2.443633256022E-008
 -1995.5        5.000631983592E-009   5.075175591881E-008   2.444689757124E-008
 -1995.4        5.002799599994E-009   5.077372069646E-008   2.445746950159E-008
 -1995.3        5.004968636780E-009   5.079569986410E-008   2.446804835731E-008
 -1995.2        5.007139095192E-009   5.081769343434E-008   2.447863414447E-008
 -1995.1        5.009310976474E-009   5.083970141976E-008   2.448922686911E-008
 -1995.0        5.011484281870E-009   5.086172383299E-008   2.449982653732E-008
 -1994.9        5.013659012629E-009   5.088376068664E-008   2.451043315517E-008
 -1994.8        5.015835169996E-009   5.090581199337E-008   2.452104672875E-008
 -1994.7        5.018012755221E-009   5.092787776582E-008   2.453166726413E-008
 -1994.6        5.020191769555E-009   5.094995801666E-008   2.454229476743E-008
 -1994.5        5.022372214250E-009   5.097205275858E-008   2.455292924474E-008
 -1994.4        5.024554090558E-009   5.099416200427E-008   2.456357070218E-008
 -1994.3        5.026737399734E-009   5.101628576644E-008   2.457421914586E-008
 -1994.2        5.028922143035E-009   5.103842405781E-008   2.458487458190E-008
 -1994.1        5.031108321717E-009   5.106057689113E-008   2.459553701643E-008
 -1994.0        5.033295937040E-009   5.108274427914E-008   2.460620645560E-008
 -1993.9        5.035484990263E-009   5.110492623462E-008   2.461688290554E-008
 -1993.8        5.037675482649E-009   5.112712277033E-008   2.462756637241E-008
 -1993.7        5.039867415459E-009   5.114933389908E-008   2.463825686236E-008
 -1993.6        5.042060789958E-009   5.117155963367E-008   2.464895438156E-008
 -1993.5        5.044255607412E-009   5.119379998693E-008   2.465965893618E-008
 -1993.4        5.046451869087E-009   5.121605497168E-008   2.467037053239E-008
 -1993.3        5.048649576253E-009   5.123832460079E-008   2.468108917638E-008
 -1993.2        5.050848730179E-009   5.126060888712E-008   2.469181487434E-008
 -1993.1        5.053049332136E-009   5.128290784353E-008   2.470254763247E-008
 -1993.0        5.055251383397E-009   5.130522148294E-008   2.471328745697E-008
 -1992.9        5.057454885236E-009   5.132754981823E-008   2.472403435405E-008
 -1992.8        5.059659838928E-009   5.134989286234E-008   2.473478832994E-008
 -1992.7        5.061866245750E-009   5.137225062820E-008   2.474554939085E-008
 -1992.6        5.064074106981E-009   5.139462312876E-008   2.475631754302E-008
 -1992.5        5.066283423899E-009   5.141701037698E-008   2.476709279269E-008
 -1992.4        5.068494197786E-009   5.143941238583E-008   2.477787514611E-008
 -1992.3        5.070706429925E-009   5.146182916832E-008   2.478866460952E-008
 -1992.2        5.072920121599E-009   5.148426073745E-008   2.479946118919E-008
 -1992.1        5.075135274093E-009   5.150670710624E-008   2.481026489137E-008
 -1992.0        5.077351888694E-009   5.152916828772E-008   2.482107572236E-008
 -1991.9        5.079569966691E-009   5.155164429494E-008   2.483189368842E-008
 -1991.8        5.081789509373E-009   5.157413514097E-008   2.484271879584E-008
 -1991.7        5.084010518030E-009   5.159664083889E-008   2.485355105091E-008
 -1991.6        5.086232993955E-009   5.161916140179E-008   2.486439045995E-008
 -1991.5        5.088456938442E-009   5.164169684276E-008   2.487523702925E-008
 -1991.4        5.090682352786E-009   5.166424717495E-008   2.488609076513E-008
 -1991.3        5.092909238284E-009   5.168681241148E-008   2.489695167391E-008
 -1991.2        5.095137596233E-009   5.170939256550E-008   2.490781976192E-008
 -1991.1        5.097367427934E-009   5.173198765018E-008   2.491869503550E-008
 -1991.0        5.099598734687E-009   5.175459767869E-008   2.492957750098E-008
 -1990.9        5.101831517794E-009   5.177722266424E-008   2.494046716473E-008
 -1990.8        5.104065778560E-009   5.179986262002E-008   2.495136403309E-008
 -1990.7        5.106301518289E-009   5.182251755927E-008   2.496226811242E-008
 -1990.6        5.108538738289E-009   5.184518749522E-008   2.497317940911E-008
 -1990.5        5.110777439867E-009   5.186787244112E-008   2.498409792953E-008
 -1990.4        5.113017624333E-009   5.189057241024E-008   2.499502368005E-008
 -1990.3        5.115259292997E-009   5.191328741587E-008   2.500595666708E-008
 -1990.2        5.117502447174E-009   5.193601747129E-008   2.501689689702E-008
 -1990.1        5.119747088175E-009   5.195876258982E-008   2.502784437626E-008
 -1990.0        5.121993217318E-009   5.198152278478E-008   2.503879911122E-008
 -1989.9        5.124240835918E-009   5.200429806952E-008   2.504976110833E-008
 -1989.8        5.126489945293E-009   5.202708845739E-008   2.506073037401E-008
 -1989.7        5.128740546765E-009   5.204989396176E-008   2.507170691469E-008
 -1989.6        5.130992641653E-009   5.207271459602E-008   2.508269073681E-008
 -1989.5        5.133246231281E-009   5.209555037356E-008   2.509368184684E-008
 -1989.4        5.135501316972E-009   5.211840130780E-008   2.510468025121E-008
 -1989.3        5.137757900052E-009   5.214126741218E-008   2.511568595639E-008
 -1989.2        5.140015981849E-009   5.216414870012E-008   2.512669896886E-008
 -1989.1        5.142275563690E-009   5.218704518509E-008   2.513771929508E-008
 -1989.0        5.144536646907E-009   5.220995688058E-008   2.514874694156E-008
 -1988.9        5.146799232829E-009   5.223288380005E-008   2.515978191476E-008
 -1988.8        5.149063322791E-009   5.225582595703E-008   2.517082422121E-008
 -1988.7        5.151328918126E-009   5.227878336503E-008   2.518187386739E-008
 -1988.6        5.153596020171E-009   5.230175603757E-008   2.519293085983E-008
 -1988.5        5.155864630264E-009   5.232474398822E-008   2.520399520505E-008
 -1988.4        5.158134749741E-009   5.234774723054E-008   2.521506690957E-008
 -1988.3        5.160406379946E-009   5.237076577809E-008   2.522614597992E-008
 -1988.2        5.162679522218E-009   5.239379964449E-008   2.523723242266E-008
 -1988.1        5.164954177902E-009   5.241684884333E-008   2.524832624433E-008
 -1988.0        5.167230348342E-009   5.243991338825E-008   2.525942745148E-008
 -1987.9        5.169508034885E-009   5.246299329287E-008   2.527053605068E-008
 -1987.8        5.171787238878E-009   5.248608857086E-008   2.528165204851E-008
 -1987.7        5.174067961671E-009   5.250919923589E-008   2.529277545154E-008
 -1987.6        5.176350204614E-009   5.253232530164E-008   2.530390626635E-008
 -1987.5        5.178633969061E-009   5.255546678181E-008   2.531504449954E-008
 -1987.4        5.180919256364E-009   5.257862369011E-008   2.532619015772E-008
 -1987.3        5.183206067880E-009   5.260179604028E-008   2.533734324748E-008
 -1987.2        5.185494404965E-009   5.262498384606E-008   2.534850377544E-008
 -1987.1        5.187784268976E-009   5.264818712122E-008   2.535967174824E-008
 -1987.0        5.190075661275E-009   5.267140587953E-008   2.537084717248E-008
 -1986.9        5.192368583223E-009   5.269464013478E-008   2.538203005483E-008
 -1986.8        5.194663036182E-009   5.271788990078E-008   2.539322040191E-008
 -1986.7        5.196959021517E-009   5.274115519135E-008   2.540441822038E-008
 -1986.6        5.199256540594E-009   5.276443602033E-008   2.541562351690E-008
 -1986.5        5.201555594781E-009   5.278773240158E-008   2.542683629815E-008
 -1986.4        5.203856185445E-009   5.281104434896E-008   2.543805657078E-008
 -1986.3        5.206158313959E-009   5.283437187636E-008   2.544928434149E-008
 -1986.2        5.208461981693E-009   5.285771499767E-008   2.546051961696E-008
 -1986.1        5.210767190022E-009   5.288107372682E-008   2.547176240389E-008
 -1986.0        5.213073940320E-009   5.290444807773E-008   2.548301270899E-008
 -1985.9        5.215382233965E-009   5.292783806435E-008   2.549427053896E-008
 -1985.8        5.217692072334E-009   5.295124370064E-008   2.550553590053E-008
 -1985.7        5.220003456807E-009   5.297466500058E-008   2.551680880043E-008
 -1985.6        5.222316388765E-009   5.299810197816E-008   2.552808924538E-008
 -1985.5        5.224630869591E-009   5.302155464740E-008   2.553937724212E-008
 -1985.4        5.226946900670E-009   5.304502302231E-008   2.555067279742E-008
 -1985.3        5.229264483387E-009   5.306850711694E-008   2.556197591802E-008
 -1985.2        5.231583619131E-009   5.309200694534E-008   2.557328661070E-008
 -1985.1        5.233904309288E-009   5.311552252158E-008   2.558460488221E-008
 -1985.0        5.236226555252E-009   5.313905385976E-008   2.559593073935E-008
 -1984.9        5.238550358412E-009   5.316260097396E-008   2.560726418889E-008
 -1984.8        5.240875720164E-009   5.318616387832E-008   2.561860523764E-008
 -1984.7        5.243202641902E-009   5.320974258697E-008   2.562995389239E-008
 -1984.6        5.245531125023E-009   5.323333711406E-008   2.564131015996E-008
 -1984.5        5.247861170925E-009   5.325694747375E-008   2.565267404716E-008
 -1984.4        5.250192781009E-009   5.328057368022E-008   2.566404556082E-008
 -1984.3        5.252525956676E-009   5.330421574768E-008   2.567542470777E-008
 -1984.2        5.254860699328E-009   5.332787369034E-008   2.568681149486E-008
 -1984.1        5.257197010371E-009   5.335154752243E-008   2.569820592892E-008
 -1984.0        5.259534891210E-009   5.337523725819E-008   2.570960801682E-008
 -1983.9        5.261874343254E-009   5.339894291189E-008   2.572101776542E-008
 -1983.8        5.264215367912E-009   5.342266449780E-008   2.573243518159E-008
 -1983.7        5.266557966594E-009   5.344640203021E-008   2.574386027221E-008
 -1983.6        5.268902140714E-009   5.347015552345E-008   2.575529304417E-008
 -1983.5        5.271247891685E-009   5.349392499182E-008   2.576673350435E-008
 -1983.4        5.273595220922E-009   5.351771044969E-008   2.577818165968E-008
 -1983.3        5.275944129844E-009   5.354151191139E-008   2.578963751704E-008
 -1983.2        5.278294619869E-009   5.356532939131E-008   2.580110108336E-008
 -1983.1        5.280646692418E-009   5.358916290384E-008   2.581257236557E-008
 -1983.0        5.283000348912E-009   5.361301246339E-008   2.582405137060E-008
 -1982.9        5.285355590775E-009   5.363687808437E-008   2.583553810539E-008
 -1982.8        5.287712419433E-009   5.366075978122E-008   2.584703257689E-008
 -1982.7        5.290070836312E-009   5.368465756841E-008   2.585853479206E-008
 -1982.6        5.292430842841E-009   5.370857146039E-008   2.587004475785E-008
 -1982.5        5.294792440450E-009   5.373250147167E-008   2.588156248125E-008
 -1982.4        5.297155630570E-009   5.375644761674E-008   2.589308796923E-008
 -1982.3        5.299520414635E-009   5.378040991012E-008   2.590462122878E-008
 -1982.2        5.301886794079E-009   5.380438836635E-008   2.591616226690E-008
 -1982.1        5.304254770340E-009   5.382838299999E-008   2.592771109058E-008
 -1982.0        5.306624344855E-009   5.385239382560E-008   2.593926770685E-008
 -1981.9        5.308995519064E-009   5.387642085776E-008   2.595083212272E-008
 -1981.8        5.311368294408E-009   5.390046411109E-008   2.596240434522E-008
 -1981.7        5.313742672331E-009   5.392452360020E-008   2.597398438138E-008
 -1981.6        5.316118654277E-009   5.394859933971E-008   2.598557223824E-008
 -1981.5        5.318496241692E-009   5.397269134430E-008   2.599716792287E-008
 -1981.4        5.320875436024E-009   5.399679962861E-008   2.600877144231E-008
 -1981.3        5.323256238722E-009   5.402092420735E-008   2.602038280364E-008
 -1981.2        5.325638651238E-009   5.404506509520E-008   2.603200201392E-008
 -1981.1        5.328022675025E-009   5.406922230689E-008   2.604362908025E-008
 -1981.0        5.330408311537E-009   5.409339585716E-008   2.605526400971E-008
 -1980.9        5.332795562229E-009   5.411758576074E-008   2.606690680940E-008
 -1980.8        5.335184428560E-009   5.414179203241E-008   2.607855748643E-008
 -1980.7        5.337574911989E-009   5.416601468696E-008   2.609021604791E-008
 -1980.6        5.339967013978E-009   5.419025373918E-008   2.610188250098E-008
