#Raman_shift/cm-1          I_tot
 -4000.0        5.244227374626E-006
 -3999.9        5.245208545645E-006
 -3999.8        5.246189997129E-006
 -3999.7        5.247171729186E-006
 -3999.6        5.248153741923E-006
 -3999.5        5.249136035449E-006
 -3999.4        5.250118609872E-006
 -3999.3        5.251101465299E-006
 -3999.2        5.252084601839E-006
 -3999.1        5.253068019600E-006
 -3999.0        5.254051718690E-006
 -3998.9        5.255035699217E-006
 -3998.8        5.256019961289E-006
 -3998.7        5.257004505016E-006
 -3998.6        5.257989330504E-006
 -3998.5        5.258974437863E-006
 -3998.4        5.259959827201E-006
 -3998.3        5.260945498626E-006
 -3998.2        5.261931452248E-006
 -3998.1        5.262917688175E-006
 -3998.0        5.263904206515E-006
 -3997.9        5.264891007377E-006
 -3997.8        5.265878090870E-006
 -3997.7        5.266865457104E-006
 -3997.6        5.267853106186E-006
 -3997.5        5.268841038225E-006
 -3997.4        5.269829253332E-006
 -3997.3        5.270817751614E-006
 -3997.2        5.271806533181E-006
 -3997.1        5.272795598142E-006
 -3997.0        5.273784946607E-006
 -3996.9        5.274774578684E-006
 -3996.8        5.275764494483E-006
 -3996.7        5.276754694113E-006
 -3996.6        5.277745177684E-006
 -3996.5        5.278735945305E-006
 -3996.4        5.279726997086E-006
 -3996.3        5.280718333136E-006
 -3996.2        5.281709953565E-006
 -3996.1        5.282701858482E-006
 -3996.0        5.283694047998E-006
 -3995.9        5.284686522222E-006
 -3995.8        5.285679281265E-006
 -3995.7        5.286672325235E-006
 -3995.6        5.287665654243E-006
 -3995.5        5.288659268399E-006
 -3995.4        5.289653167813E-006
 -3995.3        5.290647352595E-006
 -3995.2        5.291641822855E-006
 -3995.1        5.292636578704E-006
 -3995.0        5.293631620251E-006
 -3994.9        5.294626947608E-006
 -3994.8        5.295622560884E-006
 -3994.7        5.296618460190E-006
 -3994.6        5.297614645637E-006
 -3994.5        5.298611117334E-006
 -3994.4        5.299607875393E-006
 -3994.3        5.300604919925E-006
 -3994.2        5.301602251039E-006
 -3994.1        5.302599868847E-006
 -3994.0        5.303597773460E-006
 -3993.9        5.304595964988E-006
 -3993.8        5.305594443542E-006
 -3993.7        5.306593209234E-006
 -3993.6        5.307592262174E-006
 -3993.5        5.308591602473E-006
 -3993.4        5.309591230244E-006
 -3993.3        5.310591145595E-006
 -3993.2        5.311591348640E-006
 -3993.1        5.312591839489E-006
 -3993.0        5.313592618254E-006
 -3992.9        5.314593685046E-006
 -3992.8        5.315595039977E-006
 -3992.7        5.316596683158E-006
 -3992.6        5.317598614700E-006
 -3992.5        5.318600834715E-006
 -3992.4        5.319603343316E-006
 -3992.3        5.320606140613E-006
 -3992.2        5.321609226719E-006
 -3992.1        5.322612601745E-006
 -3992.0        5.323616265804E-006
 -3991.9        5.324620219006E-006
 -3991.8        5.325624461465E-006
